state,party
Montana,Republican
Alabama,Republican
Arizona,Republican
Arkansas,Republican
California,Democratic
Colorado,Democratic
Connecticut,Democratic
Delaware,Democratic
District of Columbia,Democratic
Florida,Republican
Georgia,Republican
Hawaii,Democratic
Idaho,Republican
Illinois,Democratic
Indiana,Republican
Iowa,Republican
Kansas,Republican
Kentucky,Republican
Louisiana,Republican
Maine,Democratic
Maryland,Democratic
Massachusetts,Democratic
Michigan,Republican
Minnesota,Democratic
Mississippi,Republican
Missouri,Republican
Alaska,Republican
Nebraska,Republican
Nevada,Democratic
New Hampshire,Democratic
New Jersey,Democratic
New Mexico,Democratic
New York,Democratic
North Carolina,Republican
North Dakota,Republican
Ohio,Republican
Oklahoma,Republican
Oregon,Democratic
Pennsylvania,Republican
Rhode Island,Democratic
South Carolina,Republican
South Dakota,Republican
Tennessee,Republican
Texas,Republican
Utah,Republican
Vermont,Democratic
Virginia,Democratic
Washington,Democratic
West Virginia,Republican
Wisconsin,Republican
Wyoming,Republican
Puerto Rico,Not Applicable